unified_title,site,site_product_id,price,confidence
Is Jose Luis Ricon's personal Lightcone smaller by EOY2026 than it is in EOY2025?,manifold,dcsNcIQA6c,0.5005,1.000
Is Jose Luis Ricon failing to maximize his Lightcone in 2025?,manifold,OgSSP269Cs,,1.000
Will AVUV outperform VOO in 2026,manifold,q8S9UNq0P2,0.3167,1.000
How many of the TIME 2025 POTY Finalists will be AI-related?,manifold,50PgUSP5ly,,1.000
Will the more liberal side win the 2026 Wisconsin Supreme court election?,manifold,QC8CS9S5ht,0.4619,1.000
Which milestones will my business hit this year,manifold,EgLh0uAyht,,1.000
Taylor Swift pregnant before 2026?,manifold,Sgc6Z5Rlth,0.4554,1.000
Is misaligned AGI/ASI more likely to tile up the universe with Jose Luis Ricons rather than paperclips?,manifold,50QPICpuQq,,1.000
UK Premier league [Matchday 3] which teams will be on top or bottom of the table after Monday 1st September,manifold,IQ92RIRZIu,,1.000
What will be the highest annual PCE inflation in a report released between September 2025 and the midterms?,manifold,5qdLyszAsp,,1.000
Will the S&P 500 hit 6000 again in 2025?,manifold,qNdPL0ZzyL,0.3004,1.000
"Will Westworld (series) return to Max (US) by Dec 1, 2027",manifold,0QhQd8InLO,0.2802,1.000
"Jacksonville Jaguars : Carolina Panthers (September 7, 2025)",manifold,q826sgsRuU,,1.000
Expected wait + travel time for a strategic 15-minute ferry?,manifold,R5g5Iu5yh8,,1.000
Expected wait + travel time for a strategic 15-minute ferry?,manifold,gCQEqtLdc9,,1.000
On how many of the remaining trading days of the year will GOOG close up?,manifold,SCuPCtccLU,,1.000
"By 2035, Will an AI Model Win Time's Person of the Year award?",manifold,NPRtC2L9L6,0.3300,1.000
Cintura vinta stagione 2025/26?,manifold,6Rn0EQ2Sgd,,1.000
Will I drink a beer before work ends today?,manifold,duIPLyttU6,0.7241,1.000
Free 10 mana (15 second task),manifold,q9L06ZE0yU,,1.000
Will AI provide significant uplift to CBRN threat creation for high-school educated people by 2030?,manifold,26updQ0ncL,0.5667,1.000
Which team will win the 2025/26 UEFA Champions League?,manifold,8h9AIzg6cd,,1.000
Which team will win the 2025/26 UEFA Champions League?,manifold,Ohq8pPLSpL,,0.800
What will be the final standings in the AFC West in the 2025 Season?,manifold,Is66q2tZ80,,1.000
What will be the final standings in the AFC West in the 2025 Season?,manifold,AqQ0guyyzI,,1.000
What will be the final standings in the AFC West in the 2025 Season?,manifold,znQzppl0Sg,,0.810
"Premier League Weekend Prop Bets, Aug 30-31 (Matchday 3)",manifold,ctPsACgh98,,1.000
Will Ukraine apologize for blowing up Nord stream 2 before 2030?,manifold,9gnZ6Ods2C,0.1089,1.000
Who will win the NFC South?,manifold,066cRndh6n,,1.000
Who will win the NFC South?,manifold,qhuunhUZCP,,0.902
Who will win the NFC South?,manifold,C5ulQEc2Nd,,0.960
Who will win the NFC South?,manifold,cZO29zLRAL,,0.889
Who will win the NFC South?,manifold,unO9ul6IqA,,0.863
Who will win the NFC South?,manifold,ZEc5cynd69,,0.920
Who will win the NFC South?,manifold,CI0O2CAZUu,,0.824
"Will ""How anticipatory cover-ups go wrong"" make the top fifty posts in LessWrong's 2025 Annual Review?",manifold,mkGxXEmcAG,0.1515,1.000
"Will ""How anticipatory cover-ups go wrong"" make the top fifty posts in LessWrong's 2025 Annual Review?",manifold,ufj6J8QqyX,0.1497,0.787
Kelce changes last name by 2026?,manifold,c8cQ5z8RyE,0.0568,1.000
Pope Leo XIV TIME PoY 2025?,manifold,cgcpztl5sP,0.2896,1.000
TIME 100 most influential people in AI 2026,manifold,6dqIuANt9y,,1.000
Minecraft tops 2025 box office?,manifold,52PIszpnsE,0.0849,1.000
OpenAI browser by Oct 31?,manifold,cNplLZgUEu,0.3501,1.000
Will I admit orz in the next year (but gamified)?,manifold,8hCh9qSpzy,0.7100,1.000
Soup or salad?,manifold,upISRdn966,,1.000
Isaac King vs. @Jim - $1000 USD on whether AI will beat Minecraft in under 10 minutes,manifold,lnhQth5c8O,,1.000
@Bayesian beats me in Flesh and Blood before end of 2025?,manifold,nE2OL6PILO,0.4680,1.000
Will Micah Parsons win a Superbowl as a Packer?,manifold,APAl9I6PIu,0.3682,1.000
Test (Do not bet),manifold,O2pIgls5ll,,1.000
"The result, assuming the Gulf Stream System (AMOC) collapses. (aspirational or the opposite this market will ever close)",manifold,R6Lhp5AdpN,,1.000
What will my AIME score mod 3 be this year?,manifold,q0U56tgNNu,,1.000
How far will Real Madrid advance in the Champions League?,manifold,zqSgncALLS,,1.000
Will Manifold bring back calibration before 2026?,manifold,RNlyR9ONOU,0.3675,1.000
Highest grossing movie in 2025?,manifold,86ENhPPddu,,1.000
Travis Kelce keeps his last name in 2025?,manifold,ctqupnqyqt,0.9397,1.000
Will the Nebraska Huskers win their football game on 8/28/25?,manifold,9cguL2CAcd,0.9900,1.000
Bitcoin close price on September 3?,manifold,dSLNd058uO,,1.000
Who will perform at the Super Bowl LX halftime show?,manifold,NC5LAQUPlp,,1.000
When will Tesla launch unsupervised full self driving?,manifold,RPAOgZ0t2h,,1.000
Israeli invasion of Syria in December 2024 involves 20-year land grab?,manifold,QqUNQpnOuI,0.3682,1.000
WNBA MVP?,manifold,92lg69QAn8,,1.000
Will basedbeffjezos weigh more than Chris Christie by eoy2031,manifold,N8UdAQSNOg,0.3347,1.000
"If Jose Luis Ricon gets his own nuclear bunker, will he have to share it with Alexey Guzey?",manifold,LpUOp5s50s,,1.000
Who am I thinking of? [Round 8; TIME SENSITIVE prize!],manifold,O8SOc5ySh0,,1.000
Alligator Alcatraz hosts detainees on 1/1/2026?,manifold,CqqARPRSEu,0.4032,1.000
When will OpenAI release a browser?,manifold,cdOSINEztC,,1.000
Will Strategy (MSTR) be included in the S&P 500 in September 2025?,manifold,On62ZNSCls,0.3906,1.000
Are Ashley D. Zhang and Lan Dao really really similar?,manifold,qANCcdECq0,,1.000
Regione di provenienza della prossima pivella di Lucas,manifold,n9y2ncAU9L,,1.000
Market resolves at even number above 50% by October 31st?,manifold,lU2g6CgnCU,0.5000,1.000
How many parameters does Grok 3 have?,manifold,9SQUE0Z80A,,1.000
GOOG crosses 300 before 200?,manifold,Zp2NNqA6LI,0.3464,1.000
